,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Yeti Roadie 20 Cooler,Yeti,280,0,4.8,3719,camping-and-hiking,2020-10-17
MEC Double Hammock with Tree Straps,MEC,99.95,0,4.7,6,camping-and-hiking,2020-10-17
MEC Camper 4-Person Tent,MEC,349.95,0,4,20,camping-and-hiking,2020-10-17
Backpacker's Pantry Pad Thai,Backpacker's Pantry,12,0,4.2,54,camping-and-hiking,2020-10-17
Helinox Savanna Chair,Helinox,259.95,0,4,2,camping-and-hiking,2020-10-17
MEC Reactor 10 Double Sleeping Pad - Unisex,MEC,299.95,0,4.4,22,camping-and-hiking,2020-10-17
MEC Hydrofoil Stretch Jacket - Men's,MEC,189.95,0,4.1,16,camping-and-hiking,2020-10-17
Hydro Flask 946ml Wide Mouth Stainless Steel Bottle,Hydro Flask,47.95,0,4.6,1847,camping-and-hiking,2020-10-17
Oboz Bridger Mid Bdry Hiking Shoes - Women's,Oboz,219.95,0,4.2,33,camping-and-hiking,2020-10-17
Garmin inReach Mini,Garmin,449.99,0,4.2,182,camping-and-hiking,2020-10-17
MEC Trailboost Merino Crew Socks - Unisex,MEC,14.95,0,4.1,8,camping-and-hiking,2020-10-17
MEC Delphinus -9C Down Sleeping Bag - Women's,MEC,269.95,0,3.7,7,camping-and-hiking,2020-10-17
Opinel Traditional #8 Stainless Steel Knife,Opinel,22.95,0,4.4,25,camping-and-hiking,2020-10-17
MEC Wanderwall Shorts - Women's,MEC,35.94,40,5,13,camping-and-hiking,2020-10-17
MEC Centaurus -9C Sleeping Bag - Unisex,MEC,209.95,0,3.9,8,camping-and-hiking,2020-10-17
MEC Centaurus 0C Sleeping Bag - Unisex,MEC,179.95,0,5,4,camping-and-hiking,2020-10-17
MEC Creekside 0C Sleeping Bag - Unisex,MEC,99.95,0,3.2,20,camping-and-hiking,2020-10-17
The North Face Eco Trail 2-Person Tent,The North Face,349.99,0,3,3,camping-and-hiking,2020-10-17
MEC Trail Pack 18L - Unisex,MEC,39.95,40,3.5,2,camping-and-hiking,2020-10-17
Arc'teryx Atom AR Hoody - Men's,Arc'teryx,369.95,0,4.7,125,camping-and-hiking,2020-10-17
Patagonia Better Sweater 1/4 Zip - Women's,Patagonia,149,0,5,4,camping-and-hiking,2020-10-17
Patagonia Down Sweater - Women's,Patagonia,285,0,3.8,9,camping-and-hiking,2020-10-17
MEC Cabin 6-Person Tent 2.0,MEC,559.95,0,4.4,12,camping-and-hiking,2020-10-17
MEC Synergy HD Gore-Tex Jacket - Men's,MEC,399.95,0,3.7,3,camping-and-hiking,2020-10-17
Salomon Outbound Light Trail Shoes - Men's,Salomon,69.93,42,5,3,camping-and-hiking,2020-10-17
MEC Deluxe Pillow,MEC,37.95,32,4.4,104,camping-and-hiking,2020-10-17
Cotopaxi Teca Cotton Face Mask - Unisex,Cotopaxi,16.95,0,4.4,7,camping-and-hiking,2020-10-17
Garmin Fenix 6 Pro Solar - Unisex,Garmin,1189.95,0,4.3,39,camping-and-hiking,2020-10-17
Garmin GPSMAP 66i GPS,Garmin,829.99,0,3,12,camping-and-hiking,2020-10-17
Yeti Tundra 65 Cooler,Yeti,480,0,4.9,3045,camping-and-hiking,2020-10-17
Pelican ProGear 30 QT Elite Cooler,Pelican,299.95,0,5,3,camping-and-hiking,2020-10-17
Yeti Hopper Flip 12 Cooler,Yeti,330,0,4.6,1178,camping-and-hiking,2020-10-17
Yeti Rambler 20 Vacuum Mag Slider Tumbler,Yeti,40,0,4.7,29539,camping-and-hiking,2020-10-17
MEC Synergy HD Gore-Tex Jacket - Women's,MEC,399.95,0,4.3,3,camping-and-hiking,2020-10-17
MEC Aquanator Rain Jacket - Men's,MEC,139.95,50,4.6,5,camping-and-hiking,2020-10-17
MEC Aquanator Rain Jacket - Women's,MEC,139.95,50,3,14,camping-and-hiking,2020-10-17
MEC Flash Cloud Gore-Tex Jacket - Men's,MEC,274.95,0,4.2,4,camping-and-hiking,2020-10-17
MEC Hydrofoil Stretch Jacket - Women's,MEC,189.95,53,2.9,14,camping-and-hiking,2020-10-17
MEC Hydrofoil Stretch Pants - Women's,MEC,129.95,0,4.7,3,camping-and-hiking,2020-10-17
J.B. Field's Super-Wool Hiker GX Socks - Unisex,J.B. Field's,10.95,0,3.9,126,camping-and-hiking,2020-10-17
Patagonia Down Sweater - Men's,Patagonia,285,30,4.2,17,camping-and-hiking,2020-10-17
MEC Aquanator Rain Pants - Women's,MEC,79.95,0,4.2,5,camping-and-hiking,2020-10-17
Arc'teryx Atom LT Hoody - Men's,Arc'teryx,319.95,0,4.8,396,camping-and-hiking,2020-10-17
Patagonia Torrentshell 3 Layer Jacket - Men's,Patagonia,189,0,3,3,camping-and-hiking,2020-10-17
MEC Flash Cloud Gore-Tex Jacket - Women's,MEC,274.95,0,3.8,4,camping-and-hiking,2020-10-17
MEC Hydrofoil Stretch Pants - Men's,MEC,129.95,0,0,0,camping-and-hiking,2020-10-17
MEC Aquanator Rain Pants - Men's,MEC,79.95,50,4.2,4,camping-and-hiking,2020-10-17
