,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Aeropress Coffee & Espresso Maker,Aeropress,44.00,0,4.5,51,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Rambler 20 Vacuum Mag Slider Tumbler,Yeti,40.00,0,4.7,29586,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR PocketRocket 2 Stove,MSR,59.95,0,4.5,28,camping-and-hiking,kitchen-and-hydration,2020-10-20
Snow Peak Field Oven,Snow Peak,272.93,30,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ooni Koda Pizza Oven,Ooni,438.95,0,4.5,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Pelican ProGear 20 QT Elite Cooler,Pelican,199.95,0,3.5,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Roadie 20 Cooler,Yeti,280.00,0,4.8,3720,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Pinnacle Dualist HS,GSI,109.95,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Platypus GravityWorks 4.0L Filter System,Platypus,139.95,0,4.5,79,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ursack Major XL Bear Resistant Bag,Ursack,131.95,0,3.5,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Primus Kinjia Stove,Primus,204.95,0,4.2,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR Quick 2 System Cookset,MSR,134.95,0,4.6,7,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydro Flask 621ml Standard Mouth Bottle,Hydro Flask,39.95,0,4.7,549,camping-and-hiking,kitchen-and-hydration,2020-10-20
Handpresso Handpresso Pump,Handpresso,109.40,16,3.9,32,camping-and-hiking,kitchen-and-hydration,2020-10-20
Light My Fire Meal Kit BIO,Light,29.94,25,3.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Backpacker's Pantry Pad Thai,Backpacker's Pantry,12.00,0,4.2,54,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Tundra 65 Cooler,Yeti,480.00,0,4.9,3047,camping-and-hiking,kitchen-and-hydration,2020-10-20
Pelican ProGear 30 QT Elite Cooler,Pelican,299.95,0,5.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Hopper Flip 12 Cooler,Yeti,330.00,0,4.6,1179,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene Everyday Wide-Mouth Loop-Top Water Bottle,Nalgene,16.95,0,4.8,99,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Rambler 10 Wine Tumbler,Yeti,35.00,0,4.8,3749,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Rambler 18 Vacuum Bottle,Yeti,29.99,25,4.8,1998,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Rambler 14 Mug,Yeti,35.00,0,4.5,3093,camping-and-hiking,kitchen-and-hydration,2020-10-20
Primus 230 Butane/Propane Canister,Primus,5.95,0,4.5,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Rambler 10 Lowball,Yeti,25.00,0,4.7,2531,camping-and-hiking,kitchen-and-hydration,2020-10-20
Primus 450 Butane/Propane Canister,Primus,9.95,0,4.6,7,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydro Flask 946ml Wide Mouth Bottle,Hydro Flask,47.95,0,4.4,74,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport Electrolyte Replacement Tablets Tri Berry,Nuun,8.95,0,3.9,8,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Creamy Beef & Noodles with Mushrooms,AlpineAire,12.75,0,4.2,12,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Peppermint Chocolate Bar,Ritter Sport,2.95,0,5.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Clif Shot Shot Bloks Fast Pak Mountain Berry,Clif Shot,2.55,0,3.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Organic Energy Chews Pink Lemonade,Honey Stinger,2.60,0,4.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Milk Macadamia Chocolate Bar,Ritter Sport,3.95,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Dark Whole Hazelnut Chocolate Bar,Ritter Sport,3.95,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene Everyday Wide-Mouth Water Bottle 1.4L,Nalgene,16.95,0,4.7,15,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene 500ml Everyday Wide-Mouth Water Bottle,Nalgene,12.95,0,4.4,21,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Organic Energy Chews Fruit Smoothie,Honey Stinger,2.60,0,5.0,8,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene 1L Everyday Narrow-Mouth Water Bottle,Nalgene,16.95,0,4.7,32,camping-and-hiking,kitchen-and-hydration,2020-10-20
Stasher Reusable Sandwich Bag,Stasher,14.95,0,4.9,823,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Organic Energy Chew Cherry Blossom,Honey Stinger,2.60,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Platypus Big Zip EVO Reservoir,Platypus,43.95,0,3.6,12,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Marzipan Chocolate Bar,Ritter Sport,2.95,0,4.8,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Hydration Immunity Tablets Orange Citrus,Nuun,9.95,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Cornflakes Chocolate Bar,Ritter Sport,2.95,0,5.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydrapak Shape Shift Reservoir,Hydrapak,51.95,0,2.7,17,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR PocketRocket 2 Mini Stove Kit,MSR,99.95,0,5.0,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene Wide-Mouth HDPE Water Bottle,Nalgene,3.50,0,4.3,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport Electrolyte Replacement Tablets Orange,Nuun,8.95,0,4.2,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Recreational Barrel Works Plastic Barrel,Recreational,59.95,0,4.8,9,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydrapak Force Reservoir,Hydrapak,58.95,0,4.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Microlite Twist Bottle,GSI,42.95,0,4.0,11,camping-and-hiking,kitchen-and-hydration,2020-10-20
Clif Shot Shot Bloks Fast Pak Citrus,Clif Shot,2.55,0,3.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Isobutane 110 Fuel Canister,GSI,6.25,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Sierra Dawn CampSuds Nalgene 118ml,Sierra Dawn,7.95,0,3.9,25,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Butter Biscuit Chocolate Bar,Ritter Sport,2.95,0,4.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Skratch Labs Sport Hydration Lemons & Limes,Skratch Labs,27.95,0,4.5,76,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Espresso Love Gel,GU,2.25,0,5.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Electrolyte Replacement Tablets Strawberry Lemon,Nuun,8.95,0,3.8,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
Jetboil Genesis 2 Burner Stove,Jetboil,349.95,0,3.6,15,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Coconut Chocolate Bar,Ritter Sport,2.95,0,5.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene MEC Crest Widemouth Bottle,Nalgene,16.95,0,5.0,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
