,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Baro Drywear The Brockton Rain Jacket - Men's,Baro Drywear,327.95,0,3.7,3,clothing,jackets,2020-10-20
Fjallraven Greenland No. 1 Down Jacket - Men's,Fjallraven,599.95,0,5.0,3,clothing,jackets,2020-10-20
Patagonia Lightweight Synchilla Snap-Tee Pullover - Men's,Patagonia,149.00,0,5.0,3,clothing,jackets,2020-10-20
Fjallraven Yupik Parka - Men's,Fjallraven,579.95,0,3.7,3,clothing,jackets,2020-10-20
The North Face McMurdo Parka - Men's,The North Face,449.99,0,2.9,7,clothing,jackets,2020-10-20
Patagonia Torrentshell 3 Layer Jacket - Men's,Patagonia,189.00,0,3.0,3,clothing,jackets,2020-10-20
Cotopaxi Dorado Half Zip Fleece - Men's,Cotopaxi,129.95,0,0.0,0,clothing,jackets,2020-10-20
MEC Synergy HD Gore-Tex Jacket - Men's,MEC,399.95,0,3.7,3,clothing,jackets,2020-10-20
MEC Aquanator Rain Jacket - Men's,MEC,139.95,50,4.6,5,clothing,jackets,2020-10-20
MEC Transference Gore-Tex Rain Jacket - Men's,MEC,249.95,0,4.4,7,clothing,jackets,2020-10-20
Patagonia Down Sweater - Men's,Patagonia,285.00,30,4.2,17,clothing,jackets,2020-10-20
MEC Hydrofoil Stretch Jacket - Men's,MEC,189.95,0,4.1,16,clothing,jackets,2020-10-20
MEC Flash Cloud Gore-Tex Jacket - Men's,MEC,274.95,0,4.2,4,clothing,jackets,2020-10-20
Arc'teryx Atom LT Hoody - Men's,Arc'teryx,319.95,0,4.8,397,clothing,jackets,2020-10-20
Patagonia Better Sweater 1/4 Zip - Men's,Patagonia,149.00,0,4.5,4,clothing,jackets,2020-10-20
MEC Boundary Light Down Jacket - Men's,MEC,189.95,0,4.4,8,clothing,jackets,2020-10-20
MEC Great Northern Down Bomber - Men's,MEC,339.95,44,4.7,3,clothing,jackets,2020-10-20
MEC Aden Rain Jacket - Men's,MEC,149.95,0,4.0,3,clothing,jackets,2020-10-20
Arc'teryx Covert 1/2 Zip Pullover - Men's,Arc'teryx,179.95,0,4.4,18,clothing,jackets,2020-10-20
MEC Great Northern Down Parka - Men's,MEC,359.95,0,4.2,14,clothing,jackets,2020-10-20
MEC Tremblant Jacket - Men's,MEC,229.95,0,4.5,40,clothing,jackets,2020-10-20
Arc'teryx Covert Cardigan - Men's,Arc'teryx,199.95,0,4.1,83,clothing,jackets,2020-10-20
Arc'teryx Cerium LT Hoody - Men's,Arc'teryx,449.95,0,4.3,168,clothing,jackets,2020-10-20
Patagonia Nano Puff Jacket - Men's,Patagonia,249.00,0,4.5,10,clothing,jackets,2020-10-20
Showers Pass Refuge Jacket - Men's,Showers Pass,379.95,0,4.6,111,clothing,jackets,2020-10-20
MEC Boundary Light Down Vest - Men's,MEC,149.95,0,4.7,3,clothing,jackets,2020-10-20
Arc'teryx Beta SL Hybrid Gore-Tex Jacket - Men's,Arc'teryx,499.95,0,4.2,52,clothing,jackets,2020-10-20
Patagonia Jackson Glacier Jacket - Men's,Patagonia,435.00,0,4.0,1,clothing,jackets,2020-10-20
MEC Aura Hoodie - Men's,MEC,149.95,0,4.0,1,clothing,jackets,2020-10-20
