,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
MEC Toaster Suit - Children,MEC,144.95,0,4.4,66,kids,2020-10-17
Blundstone 565 Kid's Blunnies - Children to Youths,Blundstone,119.95,0,5,1,kids,2020-10-17
Bogs Skipper Rain Boots - Children,Bogs,44.95,0,0,0,kids,2020-10-17
Reima Pohjola Wool Blend Beanie - Youths,Reima,44.95,0,0,0,kids,2020-10-17
MEC Kids Lunch Bag,MEC,20.95,0,5,4,kids,2020-10-17
MEC Toaster Bunting Suit - Infants,MEC,104.95,0,4.6,24,kids,2020-10-17
MEC Toaster Bib Pants - Children,MEC,94.95,0,5,3,kids,2020-10-17
MEC Toaster Parka - Children to Youths,MEC,134.95,0,4.2,17,kids,2020-10-17
MEC Heritage Newt Suit - Infants,MEC,69.95,40,5,9,kids,2020-10-17
MEC Heritage Rain Pants - Youths,MEC,42.95,42,3.6,5,kids,2020-10-17
MEC Besnow Jacket - Children,MEC,99.95,0,4.6,5,kids,2020-10-17
MEC Heritage Rain Pants - Children,MEC,34.95,0,3.6,10,kids,2020-10-17
MEC Toasty Mitts - Infants to Children,MEC,18.95,0,3.2,30,kids,2020-10-17
MEC Besnow Bunting Suit - Infants,MEC,119.95,0,3.6,8,kids,2020-10-17
MEC Aquanator Long Jacket - Girls' - Youths,MEC,59.94,41,4.2,4,kids,2020-10-17
MEC Cozy Aquanator Jacket - Boys' - Youths,MEC,99.95,0,4.2,5,kids,2020-10-17
Osprey Poco Child Carrier - Kids’ - Infants,Osprey,399.95,0,5,1,kids,2020-10-17
MEC Ursus Bunting Suit - Infants,MEC,49.95,0,4.6,51,kids,2020-10-17
MEC Camber Jacket - Youths,MEC,154.95,0,3.9,8,kids,2020-10-17
MEC Surplus Pants - Youths,MEC,38.97,29,5,3,kids,2020-10-17
MEC Cozy Newt Suit - Infants,MEC,79.95,0,1.5,2,kids,2020-10-17
MEC Toasty Mitts - Children to Youths,MEC,26.95,0,2.9,17,kids,2020-10-17
MEC Midweight Underwear Long Johns - Youths,MEC,34.95,40,4.6,10,kids,2020-10-17
