,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Baro Drywear The Brockton Rain Jacket - Men's,Baro Drywear,327.95,0,3.7,3,clothing,2020-10-17
Fjallraven Greenland No. 1 Down Jacket - Men's,Fjallraven,599.95,0,5,3,clothing,2020-10-17
MEC Cliffton Cargo Pants - Men's,MEC,74.95,0,5,1,clothing,2020-10-17
Patagonia Lightweight Synchilla Snap-Tee Pullover - Men's,Patagonia,149,0,5,3,clothing,2020-10-17
Fjallraven Yupik Parka - Men's,Fjallraven,579.95,0,3.7,3,clothing,2020-10-17
The North Face McMurdo Parka - Men's,The North Face,449.99,0,2.9,7,clothing,2020-10-17
Patagonia Torrentshell 3 Layer Jacket - Men's,Patagonia,189,0,3,3,clothing,2020-10-17
Cotopaxi Dorado Half Zip Fleece - Men's,Cotopaxi,129.95,0,0,0,clothing,2020-10-17
MEC Peak Comfort AirGrid Lite Long Sleeve Base Layer - Men's,MEC,34.95,0,4,1,clothing,2020-10-17
Fjallraven Ovik Round Neck Sweater - Men's,Fjallraven,174.95,0,5,1,clothing,2020-10-17
MEC Synergy HD Gore-Tex Jacket - Men's,MEC,399.95,0,3.7,3,clothing,2020-10-17
MEC Transference Gore-Tex Rain Jacket - Men's,MEC,249.95,0,4.4,7,clothing,2020-10-17
MEC Aquanator Rain Jacket - Men's,MEC,139.95,50,4.6,5,clothing,2020-10-17
MEC Hydrofoil Stretch Jacket - Men's,MEC,189.95,0,4.1,16,clothing,2020-10-17
MEC Flash Cloud Gore-Tex Jacket - Men's,MEC,274.95,0,4.2,4,clothing,2020-10-17
Patagonia Better Sweater Jacket - Men's,Patagonia,169,0,3.3,7,clothing,2020-10-17
Patagonia Down Sweater - Men's,Patagonia,285,30,4.2,17,clothing,2020-10-17
Arc'teryx Atom LT Hoody - Men's,Arc'teryx,319.95,0,4.8,396,clothing,2020-10-17
MEC Hydrofoil Stretch Pants - Men's,MEC,129.95,0,0,0,clothing,2020-10-17
MEC Aquanator Rain Pants - Men's,MEC,79.95,50,4.2,4,clothing,2020-10-17
Arc'teryx Covert Cardigan - Men's,Arc'teryx,199.95,0,4.1,83,clothing,2020-10-17
MEC Flash Cloud Gore-Tex Pants - Men's,MEC,239.95,0,4.3,3,clothing,2020-10-17
MEC Drencher Pants - Men's,MEC,69.95,0,3.7,56,clothing,2020-10-17
MEC Aquadash Packable Waterproof Cycling Rain Pants - Men's,MEC,119.95,0,4,4,clothing,2020-10-17
MEC Aden Rain Jacket - Men's,MEC,149.95,0,4,3,clothing,2020-10-17
MEC Alpine Ally Pants - Men's,MEC,189.95,0,4,9,clothing,2020-10-17
"Prana Brion Pants 32"" Inseam - Men's",Prana,71.97,39,4.5,8,clothing,2020-10-17
MEC Mochilero Stretch Pants - Men's,MEC,79.95,0,3.8,9,clothing,2020-10-17
MEC Borderland Pants - Men's,MEC,99.95,50,4.8,4,clothing,2020-10-17
Patagonia Better Sweater 1/4 Zip - Men's,Patagonia,149,0,4.5,4,clothing,2020-10-17
The North Face Paramount Trail Convertible Pants - Men's,The North Face,52.93,43,0,0,clothing,2020-10-17
Arc'teryx Covert 1/2 Zip Pullover - Men's,Arc'teryx,179.95,0,4.4,18,clothing,2020-10-17
MEC Tremblant Jacket - Men's,MEC,229.95,0,4.5,40,clothing,2020-10-17
Patagonia Lone Mountain 3-in-1 Jacket - Men's,Patagonia,475,30,0,0,clothing,2020-10-17
MEC Boundary Light Down Jacket - Men's,MEC,189.95,0,4.4,8,clothing,2020-10-17
MEC Trax Nordic Soft Shell Pants - Men's,MEC,134.95,0,5,2,clothing,2020-10-17
Kuhl Interceptr Jacket - Men's,Kuhl,78.38,44,0,0,clothing,2020-10-17
Showers Pass Transit Jacket CC - Men's,Showers Pass,199.95,0,3.7,15,clothing,2020-10-17
Arc'teryx Beta SL Hybrid Gore-Tex Jacket - Men's,Arc'teryx,499.95,0,4.2,52,clothing,2020-10-17
MEC Great Northern Down Parka - Men's,MEC,359.95,0,4.2,14,clothing,2020-10-17
MEC All Day Essentials Merino Lite Long Sleeve Tee - Men's,MEC,69.95,0,3.6,5,clothing,2020-10-17
Arc'teryx Cerium LT Hoody - Men's,Arc'teryx,449.95,0,4.3,168,clothing,2020-10-17
MEC Boundary Light Down Vest - Men's,MEC,149.95,0,4.7,3,clothing,2020-10-17
MEC Mochilero Stretch Convertible Pants - Men's,MEC,89.95,0,3.9,9,clothing,2020-10-17
MEC Trek Pants - Men's,MEC,69.95,0,3.3,19,clothing,2020-10-17
MEC Mochilero Cargo Pants - Men's,MEC,89.95,0,5,1,clothing,2020-10-17
MEC Prospect Fleece Jacket - Men's,MEC,114.95,0,3,6,clothing,2020-10-17
Fjallraven Vidda Pro Ventilated Trousers - Men's,Fjallraven,199.95,0,4,1,clothing,2020-10-17
MEC T3 Long Johns - Men's,MEC,44.95,0,3.7,25,clothing,2020-10-17
Patagonia Topley Jacket - Men's,Patagonia,499,0,3.6,8,clothing,2020-10-17
Patagonia Nano Puff Jacket - Men's,Patagonia,249,0,4.5,10,clothing,2020-10-17
Prana Moaby Pants - Men's,Prana,67.97,20,4,1,clothing,2020-10-17
Tentree Benson Flannel Shirt - Men's,Tentree,88.95,0,0,0,clothing,2020-10-17
MEC Aura Hoodie - Men's,MEC,149.95,0,4,1,clothing,2020-10-17
MEC Great Northern Down Bomber - Men's,MEC,339.95,44,4.7,3,clothing,2020-10-17
Showers Pass Refuge Jacket - Men's,Showers Pass,379.95,0,4.6,111,clothing,2020-10-17
Kuhl Rebel Pants - Men's,Kuhl,47.93,50,3.8,4,clothing,2020-10-17
Smartwool Merino 250 Baselayer Bottoms - Men's,Smartwool,129.95,0,0,0,clothing,2020-10-17
