,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
The North Face Hikesteller Futurelight Parka - Women's,The North Face,379.99,0,0,0,clothing,2020-10-17
MEC Great Northern Down Parka - Women's,MEC,359.95,0,3.9,15,clothing,2020-10-17
MEC Stargazer Fleece Pullover - Women's,MEC,74.95,0,4.6,17,clothing,2020-10-17
Patagonia Micro Puff Hoody - Women's,Patagonia,375,0,4.8,4,clothing,2020-10-17
Patagonia Silent Down Jacket - Women's,Patagonia,315,0,5,1,clothing,2020-10-17
MEC Timeless Pants - Women's,MEC,69.95,50,4.3,35,clothing,2020-10-17
Arc'teryx Covert Sweater - Women's,Arc'teryx,149.95,0,5,4,clothing,2020-10-17
Heat Holders Original Cream Block Twist Lite Crew Socks - Women's,Heat Holders,12.99,0,0,0,clothing,2020-10-17
MEC Cozy Pom Toque - Women's,MEC,29.95,0,5,2,clothing,2020-10-17
Patagonia Better Sweater 1/4 Zip - Women's,Patagonia,149,0,5,4,clothing,2020-10-17
Patagonia Down Sweater - Women's,Patagonia,285,0,3.8,9,clothing,2020-10-17
MEC All Day Essentials Short Sleeve T-Shirt - Women's,MEC,32.95,0,5,2,clothing,2020-10-17
MEC Synergy HD Gore-Tex Jacket - Women's,MEC,399.95,0,4.3,3,clothing,2020-10-17
MEC Aquanator Rain Jacket - Women's,MEC,139.95,50,3,14,clothing,2020-10-17
MEC Transference Gore-Tex Rain Jacket - Women's,MEC,249.95,44,3.6,7,clothing,2020-10-17
MEC Confidante Insulated Jacket - Women's,MEC,224.95,0,4.3,19,clothing,2020-10-17
MEC Hydrofoil Stretch Jacket - Women's,MEC,189.95,53,2.9,14,clothing,2020-10-17
MEC Hydrofoil Stretch Pants - Women's,MEC,129.95,0,4.7,3,clothing,2020-10-17
MEC Aquanator Rain Pants - Women's,MEC,79.95,0,4.2,5,clothing,2020-10-17
MEC Flash Cloud Gore-Tex Jacket - Women's,MEC,274.95,0,3.8,4,clothing,2020-10-17
MEC Wanderwall Pants - Women's,MEC,69.95,0,4.4,78,clothing,2020-10-17
MEC Borderland Pants - Women's,MEC,99.95,50,3.7,12,clothing,2020-10-17
MEC Boundary Light Down Vest - Women's,MEC,149.95,0,4.9,7,clothing,2020-10-17
MEC Greycoast Rain Jacket - Women's,MEC,149.95,0,4.2,4,clothing,2020-10-17
MEC Annex Rain Jacket - Women's,MEC,149.95,40,3,2,clothing,2020-10-17
MEC Drencher Pants - Women's,MEC,69.95,0,3.7,19,clothing,2020-10-17
MEC Tremblant Jacket - Women's,MEC,229.95,0,4.2,20,clothing,2020-10-17
MEC Flash Cloud Gore-Tex Pants - Women's,MEC,239.95,0,4,5,clothing,2020-10-17
Arc'teryx Atom LT Hoody - Women's,Arc'teryx,319.95,0,4.7,160,clothing,2020-10-17
MEC Terrena Stretch Pants - Women's,MEC,79.95,0,4.8,13,clothing,2020-10-17
Arc'teryx Codetta Gore-Tex Coat - Women's,Arc'teryx,499.95,30,4.4,44,clothing,2020-10-17
MEC Boundary Light Down Jacket - Women's,MEC,189.95,0,4,5,clothing,2020-10-17
Patagonia Torrentshell 3 Layer Jacket - Women's,Patagonia,189,0,2.8,5,clothing,2020-10-17
MEC Aquadash Packable Waterproof Cycling Rain Pants - Women's,MEC,119.95,0,4,2,clothing,2020-10-17
MEC Rockwall Midlayer - Women's,MEC,99.95,0,5,11,clothing,2020-10-17
Patagonia Nano Puff Jacket - Women's,Patagonia,249,0,4.1,7,clothing,2020-10-17
Arc'teryx Beta SL Hybrid Gore-Tex Jacket - Women's,Arc'teryx,499.95,0,3.7,21,clothing,2020-10-17
Smartwool Merino 250 Baselayer 1/4 Zip Long Sleeve Top - Women's,Smartwool,149.95,0,0,0,clothing,2020-10-17
MEC Flex Nordic Hybrid Softshell Tights - Women's,MEC,99.95,0,3.3,3,clothing,2020-10-17
MEC Tobo Softshell Pants - Women's,MEC,124.95,0,4.5,4,clothing,2020-10-17
MEC Teslin Zip Sweater - Women's,MEC,89.95,50,3.5,15,clothing,2020-10-17
MEC Trax Nordic Soft Shell Pants - Women's,MEC,134.95,0,3.8,4,clothing,2020-10-17
MEC Terrena High Rise Cargo Pants - Women's,MEC,89.95,30,4.5,18,clothing,2020-10-17
Patagonia Skyline Traveller Pants - Women's,Patagonia,76.3,36,3.8,4,clothing,2020-10-17
Patagonia City Storm Parka - Women's,Patagonia,437.5,30,5,1,clothing,2020-10-17
MEC Alpine Ally Pants - Women's,MEC,189.95,0,3.4,5,clothing,2020-10-17
MEC Peak Comfort AirGrid Lite Long Sleeve Base Layer - Women's,MEC,34.95,0,4,1,clothing,2020-10-17
Patagonia Better Sweater Jacket - Women's,Patagonia,169,0,4.7,3,clothing,2020-10-17
Arc'teryx Covert Cardigan - Women's,Arc'teryx,199.95,0,4.4,22,clothing,2020-10-17
Indygena Ploma Parka - Women's,Indygena,399.93,50,3.4,7,clothing,2020-10-17
Arc'teryx Gamma LT Pants - Women's,Arc'teryx,199.95,20,4.4,25,clothing,2020-10-17
MEC Aura Hoodie - Women's,MEC,149.95,0,5,1,clothing,2020-10-17
Prana Winter Hallena Pants - Women's,Prana,95.97,20,4.6,8,clothing,2020-10-17
The North Face Utility Hybrid Hiker Tights - Women's,The North Face,79.97,20,3.9,24,clothing,2020-10-17
The North Face Thermoball Triclimate Jacket - Women's,The North Face,399.99,0,5,1,clothing,2020-10-17
MEC Light Within Jacket - Women's,MEC,199.95,0,3.9,10,clothing,2020-10-17
Patagonia Radalie Parka - Women's,Patagonia,249,30,4.3,7,clothing,2020-10-17
MEC Teslin Cardigan - Women's,MEC,39.93,50,4.2,10,clothing,2020-10-17
Patagonia Radalie Bomber Jacket - Women's,Patagonia,189,0,2.5,2,clothing,2020-10-17
Arc'teryx Sentinel AR Gore-Tex Pants - Women's,Arc'teryx,599.95,30,4.4,11,clothing,2020-10-17
